Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
Pizza Olive,,4.2,0,225,Pizza,Devendra Nagar, Raipur,"Capsicum Paneer and Cheese Pizza [Regular, 7 inches]",MUST TRY,28,149.0
Tipsy Topsy Bakery,3.8,3.9,225,0,Chinese,Saroor Nagar, Hyderabad,Paneer Pataka Pizza [8 inches],,0,315.0
Tan-Sukh By Kanha,4.1,4.1,301,0,Desserts,C Scheme, Jaipur,Navratan Korma,,15,380.0
Wat-a-Burger! - India ka Burger,3.8,4.0,71,0,Beverages,Hazratganj, Lucknow,Party Pack For 4 Combo 2,Not eligible for coupons,0,1329.0
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Ginger Lime Juice,,0,89.0
RK Pure Veg,3.7,3.8,208,0,Sichuan,Vishrantwadi, Pune,Green Peas Masala,,8,190.0
Khandelwal Dhaba Purana Wala,3.9,4.0,353,0,South Indian,Sikar Road, Jaipur,Pyaz Parantha,,18,120.0
Lina's Brickoven Newyork Pizzeria,4.4,4.1,72,968,Fast Food,T. Nagar, Chennai,Chickpea Garlic Bread,,0,295.0
Subway,3.1,4.1,310,0,Beverages,FC Road, Pune,Chicken Teriyaki Sandwich,BESTSELLER,46,266.67
Domino's Pizza,2.5,4.0,14,0,Desserts,Rasta Peth, Pune,Veg Loaded,BESTSELLER,34,159.0
A1 Ambur Briyani & Kababs,4.0,3.7,92,0,Chinese,Aminijikarai, Chennai,Mini Bucket Chicken Briyani,,0,650.0
RollsKing,,4.2,0,229,Beverages,Raja Park, Jaipur,RK Special Non Veg Roll,,0,302.0
Pai Brothers Fast Food,4.1,4.2,528,0,Street Food,MG Road, Kochi,Podi Duck Masala Dosa,,0,150.0
Mama Mia!,,4.4,0,0,Pizza,Entally, Kolkata,Vanilla & Chocolate Roll Ice Cream Cake Slice [140g],,25,169.0
Goutam's,2.9,3.6,553,0,Pizza,Sector 1, Kolkata,Egg Chicken Schezwan Rice,,0,180.0
Tan-Sukh By Kanha,4.1,4.1,301,0,Desserts,C Scheme, Jaipur,Salted Fresh Lime Soda,,0,90.0
Hot Pizza Ace,,3.6,0,0,Shake,Gomti Nagar, Lucknow,Tomato and Corn Pizza [7 Inches],,0,179.0
Living Bowls,,3.7,0,604,Juices,Koramangala 7th Block, Bangalore,Spicy Tapioca Chips,,6,39.0
Cups & Cones,4.1,4.0,70,0,Beverages,Vyttila, Kochi,Veg Steamed Momos,BESTSELLER,37,85.0
Shivam Bhojnalay,3.0,3.5,149,0,Gujarati,Gurukul, Ahmedabad,Vegetable Maggi [300 grams],,5,148.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Chicken Chinese Maggi,,0,224.0
Mainland China,,4.1,0,643,Sichuan,Lower Parel, Mumbai,General Taos Chicken,,13,655.0
Apoorva Delicacies,3.8,4.1,654,0,Beverages,Dadar Shivaji Park, Mumbai,Combination Schezwan Fried Rice,,0,330.0
Aromas Cafe & Bistro,4.3,4.0,0,0,Beverages,Linking Road, Mumbai,Extra Prawns (2 Pcs) Mains,,0,119.0
Peaberrys,,4.3,0,77,Pizza,Esplanade, Kolkata,Grilled BBQ Chicken Steak with Sauteed Vegetable,,0,425.0
Gokul Refreshment,4.2,4.1,337,0,Beverages,Hill Road, Mumbai,Classic Vanilla,,0,155.0
Salem RR Biriyani Unavagam,4.0,3.5,47,0,Seafood,Triplicane, Chennai,Water Bottle,Not on Pro,0,20.0
Eagle Bites Pizza,4.3,4.0,0,0,Pizza,Ruby Hospital Area, Kolkata,Coolberg Ginger 330 Ml,MUST TRY,0,120.0
Burger Singh - Big Punjabi Burgers,3.8,4.2,11,210,Fast Food,Raja Park, Jaipur,3 Crispy Chicken Strips,,0,169.0
Just A Sec,,3.6,0,512,North Indian,Mansarovar, Jaipur,Cold Coffee with Chocolate Ice Cream,NEW,5,95.0
Gopi Bhog,3.7,3.6,10,0,Biryani,Bapunagar, Ahmedabad,Stuff Mixveg Tawa Paratha With Curd + Pickle,,0,238.0
Sandwich Jn.,3.9,4.1,101,0,Pizza,Samta Colony, Raipur,Cheesy French Fries,,18,130.0
The Momo Factory,2.8,3.7,97,0,Fast Food,Dadar Shivaji Park, Mumbai,Chicken Thai Basil Sauce,,0,299.0
Biggies Burger,4.0,4.2,102,487,Desserts,FC Road, Pune,Chicken Beamer Wrap,,0,239.0
Fayrouz,4.3,4.1,322,0,Beverages,Prahlad Nagar, Ahmedabad,Fish Finger,,9,630.0
Harishankar Veg Restro,3.8,4.1,273,0,Beverages,Raja Park, Jaipur,Missi Lachha Paratha,,12,55.0
Domino's Pizza,3.5,4.2,4,0,Desserts,Perambur, Chennai,Mexican Green Wave Pizza,,0,269.0
Rominus Pizza And Burger,3.7,4.0,35,0,Fast Food,C Scheme, Jaipur,BM Veggie Makhani,,11,148.0
Dip N Bite,3.6,3.9,9,361,Beverages,Tonk Phatak, Jaipur,Marghrita Pizza (Plain Cheese),,0,198.0
Roll Express,,4.0,0,0,Rolls,C Scheme, Jaipur,Classic Cheese Roll,BESTSELLER,36,120.0
Boojee Cafe,4.5,4.3,319,0,Desserts,Carter Road, Mumbai,African Chicken,,9,480.0
Cafe 555 & Aqeeq Restaurant,4.2,4.1,0,0,Desserts,Masab Tank, Hyderabad,Fried Prawns,,20,220.0
Hoy Punjab,4.3,3.7,163,596,Beverages,Kacheripady, Kochi,Mutton Dum Biriyani,BESTSELLER,15,755.29
Pizza Zone,3.2,4.0,44,924,Pasta,Paldi, Ahmedabad,Jain Bread Stick,,0,150.0
Agarwal's Desi Khana Khazana,3.1,4.1,26,484,Rajasthani,Kilpauk, Chennai,Aloo Paratha,,0,133.0
Subway,3.8,3.8,113,0,Beverages,Malakpet, Hyderabad,Pepsi Black 300ml Can,,0,57.14
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Chocolate Ice Cream With Toppings,,0,120.0
Hotel Paramount,4.1,4.2,975,0,Beverages,Kilpauk, Chennai,Chilli Mutton,,0,310.0
Pizza Hut,3.7,3.4,390,0,Beverages,Centre Square Mall, Kochi,Chicken Supreme,,37,409.0
The Chinese Wok,4.0,4.0,99,0,Sichuan,Kondhwa, Pune,Chicken In Roasted Chilli Garlic Sauce,,0,319.0
Little Italy,4.4,3.8,349,0,Pizza,Nungambakkam, Chennai,Black Coffee,,0,250.0
Hotel Shadab,4.3,4.1,0,0,Beverages,Ghansi Bazaar, Hyderabad,Loose Prawns,,48,335.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Paneer Butter Masala,,75,210.0
Texas Burgers,,4.0,0,0,Burger,Thippasandra, Bangalore,Party Combo 7,,0,1249.0
Brown Sugar,4.1,4.2,0,0,Beverages,Axis Mall, Jaipur,Veggie Manchurian Tiffin,,16,265.0
Meat And Eat,3.0,3.7,77,0,Beverages,Royapettah, Chennai,Chicken Tikka Burger + Chicken Fries + Drink,,0,329.0
Burger King,3.4,3.8,261,0,Beverages,The Pavillion, Pune,Whopper Partnership Combo- Veg,,0,655.0
Sandwich Express,,4.2,0,0,Beverages,Koregaon Park, Pune,Cheese Malabar Mix Veg Grilled Sandwich,,0,120.0
Boojee Cafe,4.5,4.3,319,0,Desserts,Carter Road, Mumbai,Vegan Pecan and Banana Bread,VEGAN,28,250.0
NR - Navaratna Udupi Pure Veg,,3.8,2,418,South Indian,Porvorim, Goa,Veg Chilli Milli,,0,230.0
Rosy Roti,,4.2,0,337,Pizza,Kankurgachi, Kolkata,Kadhai Paneer & Maah Ki dal With Roti or Rice,BESTSELLER,5,230.0
Ponnusamy Hotel,3.4,3.7,127,0,Beverages,Egmore, Chennai,Egg Curry,,0,200.0
Rang De Basanti Dhaba,4.2,4.1,506,0,Pizza,Kankurgachi, Kolkata,Awadhi Chicken Chaap,,0,340.0
Aromas Cafe & Bistro,4.3,4.0,0,0,Beverages,Linking Road, Mumbai,Chicken & Cheese Omelette,,0,379.0
Nisarga,3.4,4.1,137,0,Biryani,Basaveshwara Nagar, Bangalore,Veg Noodles,,0,237.5
Domino's Pizza,2.5,4.0,14,0,Desserts,Rasta Peth, Pune,Peppy Paneer Pizza,BESTSELLER,21,269.0
Writer's Cafe,4.1,4.0,31,0,Beverages,Egmore, Chennai,Grilled Chicken with Caribbean Rice,,0,320.0
Cafe Cilantro,,3.7,0,250,Maharashtrian,Porvorim, Goa,Veg Kadhai,,0,290.0
Shivam Classic,,,0,3,Beverages,Panaji, Goa,Dal Tadka,,0,120.0
Mother's Meal,4.2,4.3,162,0,Chinese,CV Raman Nagar, Bangalore,Jeera Rice,,28,91.0
Donut Factory,3.9,4.1,381,0,Beverages,Panampilly Nagar, Kochi,Pina Colada,,0,125.0
RR62 - Cafe & Kitchen,4.2,3.8,177,0,Beverages,Pink City, Jaipur,American Corn Cheese Ball,,0,290.0
The Kalika Hut,3.5,3.7,12,0,Fast Food,Hazratganj, Lucknow,Kadhai Paneer,BESTSELLER,67,299.0
Onesta,,3.6,0,197,Beverages,Mantri Square, Bangalore,Tiramisu Jar,,5,99.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Mocha Frappe,,0,168.0
Maharaja Restaurant,3.2,3.5,67,0,Chinese,Charbagh, Lucknow,Paneer Chowmein,,0,150.0
Game Of Spices,4.3,3.7,88,0,Sichuan,Mansarovar, Jaipur,Chicken Tikka Masala,,0,540.0
The Bahubelly,3.4,3.8,98,0,Pizza,Kankurgachi, Kolkata,BBQ Grilled Chicken Burger,,0,199.0
Little Hut,3.6,4.0,177,570,BBQ,Anna Nagar West, Chennai,Shalimar Fish Biryani,,0,300.0
The Chinese Wok,4.0,4.0,99,0,Sichuan,Kondhwa, Pune,Chicken Chilli Basil Dry,,0,289.0
Grand Bawarchi Restaurant,4.2,4.2,423,0,Kebab,Falaknuma, Hyderabad,Mutton Curry,,0,380.0
Cafe Cilantro,,3.7,0,250,Maharashtrian,Porvorim, Goa,Veg Kadhai,,0,290.0
Theobroma,3.3,4.3,32,0,Beverages,Lavelle Road, Bangalore,Chocoholic Cake [1/2kg],BESTSELLER,24,700.0
Buhari Special Juice,4.0,4.3,74,0,Beverages,Palarivattom, Kochi,Tender Coconut Chocolate Shake,,20,90.0
Farki,3.8,4.3,1,477,Desserts,Ashram Road, Ahmedabad,Rose Lassi (200 Ml),,6,57.14
Tower Burger,3.8,3.7,0,64,Beverages,Perambur, Chennai,Chicken Masala Bread Omelette,,0,90.0
Brown Sugar,4.1,4.2,0,0,Beverages,Axis Mall, Jaipur,Veg Spicy Grilled Sandwich,BESTSELLER,13,190.0
Aromas Of Biryani,4.2,4.0,423,0,North Indian,Jayanagar, Bangalore,Kolkata Murg Biryani,,11,359.0
Grill A Delics,4.1,3.8,142,303,Beverages,Washermenpet, Chennai,Prawn Schezwan Noodles,,0,294.0
Nxtdoor,,3.9,0,0,Sichuan,Purasavakkam, Chennai,Jeera Rice with Dal Makhani,,9,229.5
Wafflez,4.1,4.1,171,0,Pizza,Samta Colony, Raipur,Chocolate Sandwich,,0,149.0
Little Hut,3.6,4.0,177,570,BBQ,Anna Nagar West, Chennai,Achari Chicken,,0,297.0
Falooda Nation,3.6,3.9,12,0,Beverages,Kaloor, Kochi,Chikoo Falooda,,7,229.0
The Pizza Box,4.1,3.8,128,515,Beverages,Senapati Bapat Road, Pune,Tandoori Chicken Pizza,BESTSELLER,32,329.0
Ceylon Bake House,4.0,3.7,415,0,Rolls,Marine Drive, Kochi,Chicken tandoori with 3 porotta mayonise and salad,,8,255.0
Goutam's,2.9,3.6,553,0,Pizza,Sector 1, Kolkata,Mixed Chowmein,,23,190.0
Alpine Restaurant & Banquet,3.9,4.1,473,0,Beverages,Ellis Bridge, Ahmedabad,Navaratan Korma,,0,239.0
Ovenstory Pizza,,4.1,0,0,Fast Food,Abids, Hyderabad,Chicken Maximus Peri Peri Cheese Semizza (Half Pizza),,0,359.0
Moti Mahal,4.0,3.6,70,0,Pizza,Jawahar Nagar, Raipur,2 Tawa Roti with Dal Fry,,0,168.0
Spice Village,4.2,3.8,108,0,Street Food,Gomti Nagar, Lucknow,Matar Paneer,,5,219.0
Rosy Roti,,4.2,0,337,Pizza,Kankurgachi, Kolkata,Kadhai Paneer & Maah Ki dal With Roti or Rice,BESTSELLER,5,230.0
The Pizza Unlimited,3.4,4.0,550,0,Street Food,Pink City, Jaipur,Chatpata Paneer Pizza,BESTSELLER,217,280.0
McDonald's,3.6,4.0,0,0,Beverages,Star Mall, Mumbai,McSaver McCheese Burger Veg Meal,,0,384.76
Capital Multi Cuisine Restaurant,4.2,3.9,0,0,Beverages,Malakpet, Hyderabad,Muskmelon Fresh Fruit Juice,,0,89.0
Haka,,3.9,0,804,Sichuan,Khar, Mumbai,Sweet Corn Soup Vegetable,,0,205.0
Super Star Hazi Biryani,3.3,3.4,34,0,Pizza,Sector 4, Kolkata,Mutton Special Biryani,CHEF'S SPECIAL,33,249.0
Hyderabadi Laziz,3.8,3.5,74,0,Hyderabadi,Karve Nagar, Pune,Chicken Dalcha Rice with Seekh Kabab,,0,409.0
Mezban,3.8,3.9,0,0,Pizza,Wellesley, Kolkata,Chicken Fried Rice,,49,180.0
Nazeer Juice Center,2.9,4.2,5,0,Shake,Charminar, Hyderabad,Matka Salad,BESTSELLER,98,150.0
Tapri By The Corner,4.2,3.7,179,0,Chinese,Koramangala 5th Block, Bangalore,Gobi Manchurian,,29,149.0
The Kalika Hut,3.5,3.7,12,0,Fast Food,Hazratganj, Lucknow,Fauji Mutton Curry,,0,499.0
Taj Mughalai,,3.6,0,717,Sichuan,Purasavakkam, Chennai,Egg Biryani,BESTSELLER,42,99.0
Mario's,,4.0,0,0,Pizza,Moudhapara, Raipur,Cheese Paneer Corn Roll,,0,210.0
The Chinese Wok,4.0,4.0,99,0,Sichuan,Kondhwa, Pune,Chicken Manchurian Dry,,0,289.0
Domino's Pizza,2.8,3.6,33,0,Fast Food,Matunga West, Mumbai,Chicken Maximus,,0,399.0
HSR High Street,3.9,4.0,0,0,Desserts,HSR, Bangalore,Prawns Manchurian,Not eligible for coupons,0,280.0
McDonald's,3.5,3.8,214,0,Beverages,MG Road, Bangalore,McSaver McCheese Burger Veg Meal,,0,384.99
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Ginger Lime Juice,,0,89.0
Peaberrys,,4.3,0,77,Pizza,Esplanade, Kolkata,Grilled BBQ Chicken Steak with Sauteed Vegetable,,0,425.0
Karnavati Snacks,3.4,3.6,1,201,Sandwich,Paldi, Ahmedabad,Cheese Jam Slice,,0,60.0
McDonald's,3.6,3.9,152,0,Fast Food,Anna Salai, Chennai,Corn & Cheese Burger,,73,149.52
Lulu Hypermarket,3.9,3.9,23,0,Bakery,Rajajinagar, Bangalore,Butter Bread Large,,8,75.0
Pizza Hut,3.6,3.8,782,0,Beverages,MI Road, Jaipur,My Box - Non Veg,,0,319.0
Little Italy,4.4,3.8,349,0,Pizza,Nungambakkam, Chennai,One Pound Cheese Cake,,0,900.0
Roll Point,4.0,4.1,111,0,Chinese,Dhankawadi, Pune,Shawarma Plate with 2 Roti,,45,170.0
Kingdoms Pizza,3.5,3.7,8,592,Fast Food,Amer Road, Jaipur,Veg Parcel,,52,59.0
Kim Ling Chinese Restaurant,4.3,4.3,539,0,Beverages,Anna Nagar East, Chennai,Mixed Lung Fung Soup,,0,155.0
KMS Hakkim Kalyana Biriyani,2.9,3.7,17,819,Beverages,Nungambakkam, Chennai,Sangrilla Chicken,,0,286.0
The Burping Panda,,3.9,0,0,Pizza,Park Circus Area, Kolkata,Chicken Schezwan Rice,,15,160.0
The Burger Club,,3.3,0,241,Shake,Koti, Hyderabad,Plain Maggi,,0,49.0
George Restaurant,3.9,4.0,0,0,Beverages,Camp Area, Pune,Egg Curry,,0,240.0
Mr. Brown - Danbro,,4.2,0,789,Coffee,Nirala Nagar, Lucknow,Jeera Puff Cookies,Not eligible for coupons,0,118.64
KFC,4.0,3.7,159,660,Beverages,Brigade Road, Bangalore,Classic Chicken Biryani Bucket -Large,,0,475.24
Daily Sushi,4.3,4.3,138,240,Beverages,Church Street, Bangalore,"Crab-Mayo Maki Roll (Futomaki, 6 pcs)",,0,380.0
Lina's Brickoven Newyork Pizzeria,4.4,4.1,72,968,Fast Food,T. Nagar, Chennai,Bacon Aglio E Olio Pasta,,0,499.0
La Pino'z Pizza,3.9,4.0,6,505,Fast Food,Himayath Nagar, Hyderabad,Premium Veg Pack Of 4,,0,549.0
Choudhary Dhaba,3.4,3.9,427,0,Chinese,Khatipura Road, Jaipur,Aloo Mattar,,18,100.0
Bell Pepper Pizza,4.1,3.9,151,666,Beverages,Jhotwara, Jaipur,Chana Chaat,,0,140.0
Joshis Masala Mantra,,3.9,0,132,Sichuan,Panaji, Goa,Paneer Butter Masala,,0,250.0
Cream Stone Ice Cream,4.1,4.3,133,0,Desserts,Begum Bazaar, Hyderabad,Creamy Red Velvet,,116,155.0
Chung Fa Restaurant,4.1,4.0,586,355,Fast Food,Mahanagar, Lucknow,Hot Garlic Noodles,BESTSELLER,22,360.0
Pista House Bakery,,4.3,0,0,Beverages,Charminar, Hyderabad,Special Mix Dry Fruit 500 Gms,,0,849.0
Mathsya,4.2,4.1,0,0,Shake,Egmore, Chennai,Phulka,,27,49.0
Little Italy,4.4,3.8,349,0,Pizza,Nungambakkam, Chennai,Black Coffee,,0,250.0
Hotel Hyderabadi,4.2,3.8,452,0,Pizza,Moudhapara, Raipur,Chicken Aashiyana,,0,240.0
New Santosh Dhaba,4.2,3.7,209,0,Beverages,Begum Bazaar, Hyderabad,Matar Palak,,0,200.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Mashroom 65,,0,190.0
Shree Santosh Family Dhaba,4.1,4.1,182,0,Beverages,Himayath Nagar, Hyderabad,Mutter Paneer,,0,240.0
Ceylon Bake House,4.0,3.7,415,0,Rolls,Marine Drive, Kochi,Chicken tandoori with 3 porotta mayonise and salad,,8,255.0
KFC,4.0,3.7,159,660,Beverages,Brigade Road, Bangalore,Veg Zinger Burger,,6,188.57
Mayur Pan House,4.3,3.9,564,0,Ice Cream,Abids, Hyderabad,Pista Kulfi,,0,94.0
Zeeshan Biryani Corner,3.7,4.0,195,0,Biryani,Lalbagh, Lucknow,Mutton Kaleji,,12,200.0
Crystal Restaurant & Bar,4.2,3.9,697,0,Biryani,Nallakunta, Hyderabad,Andhra Chicken,,18,305.0
Radhe Restaurants,3.9,3.9,27,0,Beverages,Subhash Bridge, Ahmedabad,Veg Shahikorma [Sweet],,0,399.0
12 To 12 BBQ,4.0,4.0,104,0,Biryani,Panampilly Nagar, Kochi,Kanthari Veg,,0,225.0
Chotu's The Food People,3.7,3.7,64,0,Biryani,Ghansi Bazaar, Hyderabad,Kesar Paneer,,0,160.0
Roop Basant Pavitra Bhojnalaya,3.2,3.9,126,0,Beverages,Gopalbari, Jaipur,Matar Paneer Combo,,0,198.0
Manchatti Restaurant,3.0,3.0,4,279,Desserts,Ernakulam City, Kochi,Konchu Perattu,,0,616.0
Faasos - Wraps & Rolls,,4.0,0,0,North Indian,Wadala, Mumbai,Creamy Makhani Falafel Wrap,,0,205.0
Moti Mahal,4.0,3.6,70,0,Pizza,Jawahar Nagar, Raipur,Veg Sandwich,,0,98.0
Sher-E-Punjab,3.3,3.7,310,0,Pizza,Theatre Road, Kolkata,Schezwan Potato,,0,250.0
McDonald's,3.6,4.2,2,0,Beverages,Shaniwar Peth, Pune,Grilled Chicken & Cheese Burger,,32,163.81
Hotel Paramount,4.1,4.2,975,0,Beverages,Kilpauk, Chennai,Kadai Chicken,,6,260.0
Harishankar Veg Restro,3.8,4.1,273,0,Beverages,Raja Park, Jaipur,Missi Lachha Paratha,,12,55.0
Meghana Foods,4.3,4.4,0,0,Seafood,Residency Road, Bangalore,Tomato Egg Curry,SPICY,0,235.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Chicken Chinese Maggi,,0,224.0
Meat And Eat,3.0,3.7,77,0,Beverages,Royapettah, Chennai,Chunky Chicken Biriyani 500gm +1pc Grillicken drumstick+Raita,,6,279.0
Momo I Am,4.4,4.3,0,0,Pizza,City Centre 1, Kolkata,Dan Dan Fried Rice,BESTSELLER,63,285.0
La Pino'z Pizza,3.9,4.0,6,505,Fast Food,Himayath Nagar, Hyderabad,"Jalapenos, Sweet Corns & Paneer Pizza",BESTSELLER,13,149.0
Roy Pizza House,,3.7,0,0,Pizza,Sector 4, Kolkata,Veg Paneer Cheese Garlic Bread,,0,130.0
Empire Plaza,3.3,3.6,69,0,South Indian,Marad, Kochi,Schwan mixed fried rice,,0,230.0
Aromas Cafe & Bistro,4.3,4.0,0,0,Beverages,Linking Road, Mumbai,Beiruti Hummus,,0,329.0
Ande Ka Funda,3.2,3.8,92,0,Chinese,BTM, Bangalore,Ghee Rice,,0,85.0
Buhari Vintage Hotel,3.5,4.1,101,0,Beverages,Kilpauk, Chennai,Kadai Vegetable,SPICY,0,285.0
Domino's Pizza,2.5,4.0,14,0,Desserts,Rasta Peth, Pune,Primavera Gourmet Pizza,,0,499.0
Bawarchi,4.2,4.1,0,0,Desserts,RTC X roads, Hyderabad,Veg Biryani,BESTSELLER,1650,100.0
Samco,3.8,4.2,634,0,Beverages,Alwarpet, Chennai,Dragon Paneer,,0,308.0
